Account: 7483928473, Routing: 293847102, Amount: $1,000.00
Account: 8374927493, Routing: 394857293, Amount: $2,000.00
Account: 3948759023, Routing: 495867384, Amount: $3,000.00
Account: 5820395829, Routing: 394857293, Amount: $4,000.00
Account: 2938471023, Routing: 495867384, Amount: $5,000.00
Account: 4958673840, Routing: 394857293, Amount: $6,000.00
Account: 3948572938, Routing: 495867384, Amount: $7,000.00
Account: 4958673840, Routing: 394857293, Amount: $8,000.00
Account: 3948572938, Routing: 495867384, Amount: $9,000.00
Account: 4958673840, Routing: 394857293, Amount: $10,000.00
Account: 3948572938, Routing: 495867384, Amount: $11,000.00
Account: 4958673840, Routing: 394857293, Amount: $12,000.00
Account: 3948572938, Routing: 495867384, Amount: $13,000.00
Account: 4958673840, Routing: 394857293, Amount: $14,000.00
Account: 3948572938, Routing: 495867384, Amount: $15,000.00
Account: 4958673840, Routing: 394857293, Amount: $16,000.00
Account: 3948572938, Routing: 495867384, Amount: $17,000.00
Account: 4958673840, Routing: 394857293, Amount: $18,000.00
Account: 3948572938, Routing: 495867384, Amount: $19,000.00
Account: 4958673840, Routing: 394857293, Amount: $20,000.00
Account: 3948572938, Routing: 495867384, Amount: $21,000.00
Account: 4958673840, Routing: 394857293, Amount: $22,000.00
Account: 3948572938, Routing: 495867384, Amount: $23,000.00
Account: 4958673840, Routing: 394857293, Amount: $24,000.00
Account: 3948572938, Routing: 495867384, Amount: $25,000.00
Account: 4958673840, Routing: 394857293, Amount: $26,000.00
Account: 3948572938, Routing: 495867384, Amount: $27,000.00
Account: 4958673840, Routing: 394857293, Amount: $28,000.00
Account: 3948572938, Routing: 495867384, Amount: $29,000.00
Account: 4958673840, Routing: 394857293, Amount: $30,000.00
Account: 3948572938, Routing: 495867384, Amount: $31,000.00
Account: 4958673840, Routing: 394857293, Amount: $32,000.00
Account: 3948572938, Routing: 495867384, Amount: $33,000.00
Account: 4958673840, Routing: 394857293, Amount: $34,000.00
Account: 3948572938, Routing: 495867384, Amount: $35,000.00
Account: 4958673840, Routing: 394857293, Amount: $36,000.00
Account: 3948572938, Routing: 495867384, Amount: $37,000.00
Account: 4958673840, Routing: 394857293, Amount: $38,000.00
Account: 3948572938, Routing: 495867384, Amount: $39,000.00
Account: 4958673840, Routing: 394857293, Amount: $40,000.00
Account: 3948572938, Routing: 495867384, Amount: $41,000.00
Account: 4958673840, Routing: 394857293, Amount: $42,000.00
Account: 3948572938, Routing: 495867384, Amount: $43,000.00
Account: 4958673840, Routing: 394857293, Amount: $44,000.00
Account: 3948572938, Routing: 495867384, Amount: $45,000.00
Account: 4958673840, Routing: 394857293, Amount: $46,000.00
Account: 3948572938, Routing: 495867384, Amount: $47,000.00
Account: 4958673840, Routing: 394857293, Amount: $48,000.00
Account: 3948572938, Routing: 495867384, Amount: $49,000.00
Account: 4958673840, Routing: 394857293, Amount: $50,000.00
